Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
8:51 AM,4,6,0,2,3,0,0,0,0
8:52 AM,4,4,0,4,5,0,0,0,0
8:53 AM,6,2,0,2,2,0,0,0,0
8:54 AM,7,1,0,1,2,0,0,0,0
8:55 AM,10,2,0,3,4,0,0,0,0
8:56 AM,6,1,0,1,1,0,0,0,0
8:57 AM,7,3,0,1,1,0,0,0,0
8:58 AM,7,2,0,1,2,0,0,0,0
8:59 AM,8,3,0,2,3,0,0,0,0
9:00 AM,10,2,0,3,5,0,0,0,0
9:01 AM,7,0,0,5,5,0,0,0,0
9:02 AM,12,4,0,1,1,0,0,0,0
9:03 AM,12,2,0,3,10,0,0,0,0
9:04 AM,15,1,0,1,1,0,0,0,0
9:05 AM,10,1,0,3,3,0,0,0,0
9:06 AM,13,0,0,2,3,0,0,0,0
9:07 AM,15,0,0,5,5,0,0,0,0
9:08 AM,14,0,0,4,4,0,0,0,0
9:09 AM,14,0,0,2,3,0,0,0,0
9:10 AM,14,0,0,3,3,0,0,0,0
9:11 AM,15,2,0,0,0,0,0,0,0
9:12 AM,15,2,0,1,1,0,0,0,0
9:13 AM,18,0,0,4,5,0,0,0,0
9:14 AM,14,0,0,0,0,0,0,0,0
9:15 AM,13,1,0,1,1,0,0,0,0
9:16 AM,15,1,0,2,2,0,0,0,0
9:17 AM,14,0,0,3,3,0,0,0,0
9:18 AM,13,1,0,3,3,0,0,0,0
9:19 AM,9,0,0,5,8,0,0,0,0
9:20 AM,12,0,0,0,0,0,0,0,0
9:21 AM,14,1,0,1,1,0,0,0,0
9:22 AM,13,1,0,0,0,90,0,0,0
9:23 AM,13,1,0,1,1,0,0,0,0
9:24 AM,13,1,0,1,1,0,0,0,0
9:25 AM,14,2,0,2,3,0,0,0,0
9:26 AM,15,1,0,2,3,0,0,0,0
9:27 AM,13,0,0,3,4,0,0,0,0
9:28 AM,14,0,0,1,1,0,0,0,0
9:29 AM,15,1,0,1,1,0,0,0,0
9:30 AM,17,2,0,3,4,0,0,0,0
9:31 AM,18,1,0,2,3,0,0,0,0
9:32 AM,18,1,0,1,2,0,0,0,0
9:33 AM,15,2,0,1,3,0,0,0,0
9:34 AM,18,0,0,2,4,0,0,0,0
9:35 AM,18,0,0,2,3,0,0,0,0
9:36 AM,18,1,0,1,2,0,0,0,0
9:37 AM,19,1,0,1,1,0,0,0,0
9:38 AM,15,0,0,1,1,0,0,0,0
9:39 AM,15,0,0,2,4,0,0,0,0
9:40 AM,19,1,0,1,1,0,0,0,0
9:41 AM,21,2,0,1,1,0,0,0,0
9:42 AM,22,0,0,1,2,0,0,0,0
9:43 AM,21,0,0,1,1,0,0,0,0
9:44 AM,23,2,0,1,1,0,0,0,0
9:45 AM,22,1,0,1,2,0,0,0,0
9:46 AM,22,1,0,2,4,0,0,0,0
9:47 AM,21,0,0,1,4,0,0,0,0
9:48 AM,21,1,0,2,4,0,0,0,0
9:49 AM,23,0,0,2,3,0,0,0,0
9:50 AM,24,1,0,2,3,0,0,0,0
9:51 AM,23,0,0,3,7,0,0,0,0
9:52 AM,26,3,0,1,1,90,0,0,0
