Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
10:23 AM,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10:24 AM,2,1,0,0,0,0,0,0,0,0,0,0,0,0
10:25 AM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10:26 AM,3,2,0,2,2,0,0,0,0,0,0,0,0,0
10:27 AM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
10:28 AM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10:29 AM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
10:30 AM,6,2,0,0,0,0,0,0,0,0,0,0,0,0
10:31 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10:32 AM,3,2,0,2,2,0,0,0,0,0,0,0,0,0
10:33 AM,4,1,0,1,1,0,0,0,0,0,0,0,0,0
10:34 AM,5,0,0,2,3,0,0,0,0,0,0,0,0,0
10:35 AM,7,1,0,1,6,0,0,0,0,0,0,0,0,0
10:36 AM,8,3,0,2,4,0,0,0,0,0,0,0,0,0
10:37 AM,10,1,0,1,6,0,0,0,0,0,0,0,0,0
10:38 AM,11,1,0,1,1,0,0,0,0,0,0,0,0,0
10:39 AM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
10:40 AM,10,1,0,1,2,0,0,0,0,0,0,0,0,0
10:41 AM,9,1,0,1,2,0,0,0,0,0,0,0,0,0
10:42 AM,10,0,0,1,2,0,0,0,0,0,0,0,0,0
10:43 AM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
10:44 AM,11,0,0,1,2,0,0,0,0,0,0,0,0,0
10:45 AM,9,0,0,1,2,0,0,0,0,0,0,0,0,0
10:46 AM,11,1,0,1,1,0,0,0,0,0,0,0,0,0
10:47 AM,12,1,0,1,2,0,0,0,0,0,0,0,0,0
10:48 AM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
10:49 AM,12,1,0,0,0,0,0,0,0,0,0,0,0,0
10:50 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
10:51 AM,11,1,0,0,0,0,0,0,0,0,0,0,0,0
10:52 AM,11,1,0,0,0,0,0,0,0,0,0,0,0,0
10:53 AM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
10:54 AM,11,2,0,1,1,0,0,0,0,0,0,0,0,0
10:55 AM,11,0,0,3,4,90,0,0,0,0,0,0,0,0
10:56 AM,10,0,0,2,6,0,1,0,0,0,0,0,0,0
10:57 AM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
10:58 AM,12,2,0,3,5,0,1,0,0,0,0,0,0,0
10:59 AM,12,0,0,2,4,0,0,0,0,0,0,0,0,0
11:00 AM,9,1,0,3,7,0,0,0,0,0,0,0,0,0
11:01 AM,12,0,0,1,1,0,0,0,0,0,0,0,0,0
11:02 AM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
11:03 AM,10,0,0,1,4,0,0,0,0,0,0,0,0,0
11:04 AM,10,0,0,3,4,0,0,0,0,0,0,0,0,0
11:05 AM,10,0,0,1,2,0,0,0,0,0,0,0,0,0
11:06 AM,11,1,0,1,3,0,0,0,0,0,0,0,0,0
11:07 AM,12,1,0,1,1,0,0,0,0,0,0,0,0,0
11:08 AM,16,2,0,6,12,0,0,0,0,0,0,0,0,0
11:09 AM,12,0,0,1,2,0,0,0,0,0,0,0,0,0
11:10 AM,12,1,0,2,4,0,0,0,0,0,0,0,0,0
11:11 AM,12,0,0,4,5,0,0,0,0,0,0,0,0,0
11:12 AM,12,0,1,2,3,0,0,0,0,0,0,0,0,0
11:13 AM,13,2,0,2,3,0,0,0,0,0,0,0,0,0
11:14 AM,14,1,0,3,7,0,0,0,0,0,0,0,0,0
11:15 AM,16,0,0,3,4,0,0,0,0,0,0,0,0,0
11:16 AM,15,2,0,5,6,0,0,0,0,0,0,0,0,0
11:17 AM,15,0,0,3,4,0,0,0,0,0,0,0,0,0
11:18 AM,15,1,0,3,3,0,0,0,0,0,0,0,0,0
11:19 AM,17,0,0,1,1,0,0,0,0,0,0,0,0,0
11:20 AM,15,0,0,2,2,0,0,0,0,0,0,0,0,0
11:21 AM,15,0,0,5,5,0,0,0,0,0,0,0,0,0
11:22 AM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
11:23 AM,16,0,0,1,1,0,0,0,0,0,0,0,0,0
11:24 AM,17,2,0,1,1,0,0,0,0,0,0,0,0,0
11:25 AM,17,0,0,2,2,90,0,0,0,0,0,0,0,0
11:26 AM,17,0,0,6,10,0,0,0,0,0,0,0,0,0
11:27 AM,17,2,1,5,5,0,0,0,0,0,0,0,0,0
11:28 AM,19,1,0,2,2,0,0,0,0,0,0,0,0,0
11:29 AM,18,0,0,3,7,0,0,0,0,0,0,0,0,0
11:30 AM,17,0,0,1,1,0,0,0,0,0,0,0,0,0
11:31 AM,15,0,0,1,2,0,0,0,0,0,0,0,0,0
11:32 AM,16,2,0,2,4,0,0,0,0,0,0,0,0,0
11:33 AM,18,0,0,1,1,0,0,0,0,0,0,0,0,0
11:34 AM,15,1,0,0,0,0,0,0,0,0,0,0,0,0
11:35 AM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
11:36 AM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
11:37 AM,18,2,0,0,0,0,0,0,0,0,0,0,0,0
11:38 AM,16,0,0,0,0,0,0,0,0,0,0,0,0,0
11:39 AM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
11:40 AM,16,1,0,1,1,0,0,0,0,0,0,0,0,0
11:41 AM,17,2,0,1,1,0,0,0,0,0,0,0,0,0
11:42 AM,16,1,0,0,0,0,0,0,0,0,0,0,0,0
11:43 AM,16,1,0,2,2,0,0,0,0,0,0,0,0,0
11:44 AM,19,0,1,3,8,0,0,0,0,0,0,0,0,0
11:45 AM,16,0,0,2,4,0,0,0,0,0,0,0,0,0
11:46 AM,15,0,0,1,3,0,0,0,0,0,0,0,0,0
11:47 AM,16,1,0,1,3,0,0,0,0,0,0,0,0,0
11:48 AM,18,0,0,1,1,0,0,0,0,0,0,0,0,0
11:49 AM,16,0,0,1,1,0,0,0,0,0,0,0,0,0
11:50 AM,16,1,0,0,0,0,0,0,0,0,0,0,0,0
11:51 AM,16,1,0,1,1,0,0,0,0,0,0,0,0,0
11:52 AM,18,2,0,0,0,0,0,0,0,0,0,0,0,0
11:53 AM,16,0,0,1,1,0,0,0,0,0,0,0,0,0
11:54 AM,14,0,0,1,1,0,0,0,0,0,0,0,0,0
11:55 AM,16,1,0,1,1,90,0,0,0,0,0,0,0,0
11:56 AM,16,0,0,1,1,0,0,0,0,0,0,0,0,0
11:57 AM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
11:58 AM,15,0,0,2,5,0,0,0,0,0,0,0,0,0
11:59 AM,15,0,0,2,3,0,0,0,0,0,0,0,0,0
12:00 PM,15,1,0,1,1,0,0,0,0,0,0,0,0,0
12:01 PM,17,1,0,1,1,0,0,0,0,0,0,0,0,0
12:02 PM,17,0,0,1,1,0,0,0,0,0,0,0,0,0
12:03 PM,16,0,0,0,0,0,0,0,0,0,0,0,0,0
12:04 PM,17,1,0,1,1,0,0,0,0,0,0,0,0,0
12:05 PM,16,0,0,2,2,0,0,0,0,0,0,0,0,0
12:06 PM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
12:07 PM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
12:08 PM,16,1,0,2,2,0,0,0,0,0,0,0,0,0
12:09 PM,16,0,0,2,2,0,0,0,0,0,0,0,0,0
12:10 PM,16,0,0,2,4,0,0,0,0,0,0,0,0,0
12:11 PM,17,0,0,0,0,0,0,0,0,0,0,0,0,0
12:12 PM,17,1,0,2,4,0,0,0,0,0,0,0,0,0
12:13 PM,16,0,0,1,1,0,0,0,0,0,0,0,0,0
12:14 PM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
12:15 PM,15,1,0,0,0,0,0,0,0,0,0,0,0,0
12:16 PM,16,0,0,1,2,0,0,0,0,0,0,0,0,0
12:17 PM,16,0,0,1,1,0,0,0,0,0,0,0,0,0
12:18 PM,16,0,0,0,0,0,0,0,0,0,0,0,0,0
12:19 PM,16,1,0,0,0,0,0,0,0,0,0,0,0,0
12:20 PM,17,1,0,0,0,0,0,0,0,0,0,0,0,0
12:21 PM,19,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22 PM,18,1,0,0,0,0,0,0,0,0,0,0,0,0
12:23 PM,19,1,0,0,0,0,0,0,0,0,0,0,0,0
12:24 PM,18,1,0,0,0,0,0,0,0,0,0,0,0,0
12:25 PM,19,0,0,2,2,90,0,0,0,0,0,0,0,0
12:26 PM,18,0,0,0,0,0,0,0,0,0,0,0,0,0
12:27 PM,20,1,0,2,2,0,0,0,0,0,0,0,0,0
12:28 PM,19,0,0,2,4,0,0,0,0,0,0,0,0,0
12:29 PM,17,0,0,1,1,0,0,0,0,0,0,0,0,0
12:30 PM,19,1,0,0,0,0,0,0,0,0,0,0,0,0
12:31 PM,18,1,0,0,0,0,0,0,0,0,0,0,0,0
12:32 PM,17,0,0,1,1,0,0,0,0,0,0,0,0,0
12:33 PM,17,0,0,0,0,0,0,0,0,0,0,0,0,0
12:34 PM,18,0,0,2,2,0,0,0,0,0,0,0,0,0
12:35 PM,17,0,0,1,2,0,0,0,0,0,0,0,0,0
12:36 PM,18,1,0,0,0,0,0,0,0,0,0,0,0,0
12:37 PM,18,0,0,0,0,0,0,0,0,0,0,0,0,0
12:38 PM,16,1,0,0,0,0,0,0,0,0,0,0,0,0
12:39 PM,14,2,0,0,0,0,0,0,0,0,0,0,0,0
12:40 PM,17,0,0,1,1,0,0,0,0,0,0,0,0,0
12:41 PM,16,0,0,0,0,0,0,0,0,0,0,0,0,0
12:42 PM,16,0,0,0,0,0,0,0,0,0,0,0,0,0
12:43 PM,14,0,0,0,0,0,0,0,0,0,0,0,0,0
12:44 PM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12:45 PM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12:46 PM,15,0,0,1,2,0,0,0,0,0,0,0,0,0
12:47 PM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12:48 PM,17,2,0,1,1,0,0,0,0,0,0,0,0,0
12:49 PM,15,0,0,2,2,0,0,0,0,0,0,0,0,0
12:50 PM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12:51 PM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12:52 PM,15,0,0,2,2,0,0,0,0,0,0,0,0,0
12:53 PM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54 PM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
12:55 PM,15,1,0,1,1,90,0,0,0,0,0,0,0,0
12:56 PM,18,0,0,1,2,0,0,0,0,0,0,0,0,0
12:57 PM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
