Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
4:45 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4:46 PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4:47 PM,2,1,0,0,0,0,0,0,0,0,0,0,0,0
4:48 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4:49 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4:50 PM,2,1,0,0,0,0,0,0,0,0,0,0,0,0
4:51 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4:52 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4:53 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4:54 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4:55 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4:56 PM,3,1,0,0,0,0,0,0,0,0,0,0,0,0
4:57 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4:58 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4:59 PM,3,2,0,0,0,0,0,0,0,0,0,0,0,0
5:00 PM,3,1,0,1,1,0,0,0,0,0,0,0,0,0
5:01 PM,3,0,0,1,1,0,0,0,0,0,0,0,0,0
5:02 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
5:03 PM,4,0,0,1,2,0,0,0,0,0,0,0,0,0
5:04 PM,3,0,0,1,1,0,0,0,0,0,0,0,0,0
5:05 PM,3,0,0,1,3,0,0,0,0,0,0,0,0,0
5:06 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5:07 PM,3,0,0,1,2,0,0,0,0,0,0,0,0,0
5:08 PM,3,0,0,1,3,0,0,0,0,0,0,0,0,0
5:09 PM,3,0,0,1,2,0,0,0,0,0,0,0,0,0
5:10 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5:11 PM,3,1,0,1,1,0,0,0,0,0,0,0,0,0
5:12 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
5:13 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
5:14 PM,6,0,0,3,6,0,0,0,0,0,0,0,0,0
5:15 PM,6,0,0,1,1,0,0,0,0,0,0,0,0,0
5:16 PM,6,0,0,1,1,0,0,0,0,0,0,0,0,0
5:17 PM,8,1,0,0,0,0,0,0,0,0,0,0,0,0
5:18 PM,8,1,0,2,3,0,0,0,0,0,0,0,0,0
5:19 PM,6,0,0,3,5,0,0,0,0,0,0,0,0,0
5:20 PM,6,0,0,1,4,0,0,0,0,0,0,0,0,0
5:21 PM,6,1,0,1,1,0,0,0,0,0,0,0,0,0
5:22 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5:23 PM,9,1,0,1,1,0,0,0,0,0,0,0,0,0
5:24 PM,6,0,0,1,2,0,0,0,0,0,0,0,0,0
5:25 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5:26 PM,9,1,0,0,0,0,0,0,0,0,0,0,0,0
5:27 PM,10,0,0,1,2,0,0,0,0,0,0,0,0,0
5:28 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5:29 PM,6,1,0,2,3,0,0,0,0,0,0,0,0,0
5:30 PM,7,0,0,1,2,0,0,0,0,0,0,0,0,0
5:31 PM,9,0,0,1,2,0,0,0,0,0,0,0,0,0
5:32 PM,9,0,0,1,2,0,0,0,0,0,0,0,0,0
5:33 PM,8,0,0,1,2,0,0,0,0,0,0,0,0,0
5:34 PM,8,1,0,2,3,0,0,0,0,0,0,0,0,0
5:35 PM,7,2,0,1,1,0,0,0,0,0,0,0,0,0
5:36 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5:37 PM,9,1,0,0,0,0,0,0,0,0,0,0,0,0
5:38 PM,6,2,0,1,1,0,0,0,0,0,0,0,0,0
5:39 PM,8,0,0,2,4,0,0,0,0,0,0,0,0,0
5:40 PM,9,0,0,2,2,0,0,0,0,0,0,0,0,0
5:41 PM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5:42 PM,10,2,0,0,0,0,0,0,0,0,0,0,0,0
