Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
3:43 PM,4,3,0,2,3,180,0,0,0
3:44 PM,3,0,0,0,0,0,0,0,0
3:45 PM,6,3,0,0,0,0,0,0,0
3:46 PM,7,1,0,0,0,0,0,0,0
3:47 PM,7,1,0,0,0,0,0,0,0
3:48 PM,8,2,0,0,0,0,0,0,0
3:49 PM,9,1,0,2,3,0,0,0,0
3:50 PM,10,2,0,2,4,0,0,0,0
3:51 PM,11,2,0,1,1,0,0,0,0
3:52 PM,10,0,0,2,2,0,0,0,0
3:53 PM,9,0,0,1,2,0,0,0,0
3:54 PM,10,1,0,0,0,0,0,0,0
3:55 PM,10,0,0,1,1,0,0,0,0
3:56 PM,10,0,0,0,0,0,0,0,0
3:57 PM,11,2,0,1,1,0,0,0,0
3:58 PM,8,1,0,0,0,0,0,0,0
3:59 PM,8,3,0,1,2,0,0,0,0
4:00 PM,7,0,0,1,3,0,0,0,0
4:01 PM,8,3,0,0,0,0,0,0,0
4:02 PM,13,2,0,1,1,0,0,0,0
4:03 PM,14,0,0,0,0,0,0,0,0
4:04 PM,10,2,0,1,3,0,0,0,0
4:05 PM,11,1,0,2,2,0,0,0,0
4:06 PM,10,3,0,2,4,0,0,0,0
4:07 PM,14,0,0,1,2,0,0,0,0
4:08 PM,14,1,0,1,1,0,0,0,0
4:09 PM,13,0,0,0,0,0,0,0,0
4:10 PM,12,1,0,2,2,0,0,0,0
4:11 PM,13,3,0,2,2,0,0,0,0
4:12 PM,17,0,0,0,0,0,0,0,0
4:13 PM,11,0,0,0,0,0,0,0,0
4:14 PM,15,1,0,0,0,0,0,0,0
4:15 PM,16,0,0,0,0,0,0,0,0
4:16 PM,19,2,0,0,0,0,0,0,0
4:17 PM,21,2,0,0,0,0,0,0,0
4:18 PM,19,1,0,0,0,0,0,0,0
4:19 PM,17,0,0,0,0,0,0,0,0
4:20 PM,19,0,0,0,0,0,0,0,0
4:21 PM,19,1,0,1,1,0,0,0,0
4:22 PM,17,1,0,1,1,0,0,0,0
4:23 PM,17,0,0,0,0,0,0,0,0
4:24 PM,21,2,0,0,0,0,0,0,0
4:25 PM,21,1,0,0,0,0,0,0,0
4:26 PM,19,1,0,0,0,0,0,0,0
4:27 PM,20,0,0,0,0,0,0,0,0
4:28 PM,21,1,0,0,0,0,0,0,0
4:29 PM,21,1,0,0,0,0,0,0,0
4:30 PM,21,0,0,0,0,0,0,0,0
4:31 PM,21,0,0,2,5,0,0,0,0
4:32 PM,19,0,0,2,3,0,0,0,0
4:33 PM,21,0,0,1,1,0,0,0,0
4:34 PM,20,0,0,1,1,0,0,0,0
4:35 PM,19,1,0,0,0,0,0,0,0
4:36 PM,20,0,0,0,0,0,0,0,0
