Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
12:00 PM,1,2,0,0,0,0,0,0,0
12:01 PM,2,1,0,1,1,0,0,0,0
12:02 PM,2,0,0,0,0,0,0,0,0
12:03 PM,2,0,0,1,1,0,0,0,0
12:04 PM,2,0,0,1,1,0,0,0,0
12:05 PM,2,0,0,0,0,0,0,0,0
12:06 PM,2,0,0,1,1,0,0,0,0
12:07 PM,2,0,0,0,0,0,0,0,0
12:08 PM,3,2,0,1,1,0,0,0,0
12:09 PM,4,0,0,1,4,0,0,0,0
12:10 PM,5,1,0,2,2,0,0,0,0
12:11 PM,7,1,0,0,0,0,0,0,0
12:12 PM,6,0,0,2,3,0,0,0,0
12:13 PM,6,2,0,1,4,0,1,0,0
12:14 PM,7,1,0,2,10,0,0,0,0
12:15 PM,7,0,0,1,4,0,0,0,0
12:16 PM,6,0,0,2,4,0,0,0,0
12:17 PM,6,0,0,1,3,0,0,0,0
12:18 PM,6,0,0,1,2,0,0,0,0
12:19 PM,6,0,0,0,0,0,0,0,0
12:20 PM,7,0,0,1,5,0,0,0,0
12:21 PM,5,0,0,1,1,0,0,0,0
12:22 PM,6,1,0,1,3,0,0,0,0
12:23 PM,7,1,0,1,4,0,0,0,0
12:24 PM,6,0,0,0,0,0,0,0,0
12:25 PM,7,1,0,0,0,0,0,0,0
12:26 PM,7,1,0,1,1,0,0,0,0
12:27 PM,8,0,0,0,0,0,0,0,0
12:28 PM,6,1,0,1,1,0,0,0,0
12:29 PM,8,1,0,1,1,0,0,0,0
12:30 PM,8,2,0,1,3,0,0,0,0
12:31 PM,10,1,0,2,6,0,0,0,0
12:32 PM,10,1,0,2,3,90,0,0,0
12:33 PM,10,0,0,2,5,0,0,0,0
12:34 PM,10,1,0,1,2,0,0,0,0
12:35 PM,12,0,0,2,4,0,0,0,0
12:36 PM,9,1,0,0,0,0,0,0,0
12:37 PM,11,0,0,2,3,0,0,0,0
12:38 PM,11,2,0,1,1,0,0,0,0
12:39 PM,13,1,0,5,11,0,0,0,0
12:40 PM,12,0,0,2,2,0,0,0,0
12:41 PM,12,0,0,2,3,0,0,0,0
12:42 PM,13,1,0,1,1,0,0,0,0
12:43 PM,14,2,0,2,2,0,0,0,0
12:44 PM,16,1,0,1,2,0,0,0,0
12:45 PM,13,0,0,3,3,0,0,0,0
