Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
1:39 PM,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1:40 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:41 PM,4,1,0,2,3,0,0,0,0,0,0,0,0,0
1:42 PM,4,0,0,2,4,0,0,0,0,0,0,0,0,0
1:43 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:44 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1:45 PM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1:46 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
1:47 PM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1:48 PM,5,0,0,1,2,0,0,0,0,0,0,0,0,0
1:49 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
1:50 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:51 PM,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1:52 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:53 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:54 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:55 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:56 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:57 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1:58 PM,2,0,0,1,4,0,0,0,0,0,0,0,0,0
1:59 PM,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2:00 PM,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2:01 PM,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2:02 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2:03 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2:04 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2:05 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2:06 PM,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2:07 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2:08 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2:09 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2:10 PM,4,1,0,1,1,90,0,0,0,0,0,0,0,0
2:11 PM,5,0,0,1,1,0,0,0,0,0,0,0,0,0
2:12 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2:13 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2:14 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
2:15 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2:16 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
