Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
10:59 AM,0,2,0,0,0,0,0,0,0
11:00 AM,2,3,0,3,3,180,0,0,0
11:01 AM,4,2,0,0,0,0,0,0,0
11:02 AM,5,0,0,0,0,0,0,0,0
11:03 AM,3,1,0,0,0,0,0,0,0
11:04 AM,4,1,0,0,0,0,0,0,0
11:05 AM,5,0,0,2,3,0,0,0,0
11:06 AM,6,1,0,1,1,0,0,0,0
11:07 AM,6,0,0,2,5,0,0,0,0
11:08 AM,6,0,0,1,1,0,0,0,0
11:09 AM,6,0,0,1,5,0,0,0,0
11:10 AM,6,1,0,2,5,0,0,0,0
11:11 AM,8,1,0,2,2,0,0,0,0
11:12 AM,8,0,0,0,0,0,0,0,0
11:13 AM,7,0,0,0,0,0,0,0,0
11:14 AM,7,1,0,0,0,0,0,0,0
11:15 AM,9,0,0,1,1,0,0,0,0
11:16 AM,8,0,0,0,0,0,0,0,0
11:17 AM,9,2,0,2,2,0,0,0,0
11:18 AM,12,1,0,0,0,0,0,0,0
11:19 AM,9,0,0,0,0,0,0,0,0
11:20 AM,9,1,0,0,0,0,0,0,0
11:21 AM,9,0,0,0,0,0,0,0,0
11:22 AM,9,0,0,0,0,0,0,0,0
11:23 AM,9,0,0,0,0,0,0,0,0
11:24 AM,9,1,0,1,3,0,0,0,0
11:25 AM,10,0,0,4,6,0,0,0,0
11:26 AM,11,0,0,4,10,0,0,0,0
11:27 AM,12,1,0,1,1,0,0,0,0
11:28 AM,11,0,0,0,0,0,0,0,0
11:29 AM,11,0,0,2,2,0,0,0,0
11:30 AM,12,1,0,1,2,0,0,0,0
11:31 AM,11,0,0,1,1,90,0,0,0
11:32 AM,11,0,0,2,5,0,0,0,0
11:33 AM,11,0,0,2,6,0,0,0,0
11:34 AM,13,0,0,1,1,0,0,0,0
11:35 AM,10,0,0,2,3,0,0,0,0
11:36 AM,10,1,0,0,0,0,0,0,0
11:37 AM,11,0,0,0,0,0,0,0,0
11:38 AM,11,3,0,1,1,0,0,0,0
11:39 AM,12,2,0,1,2,0,0,0,0
11:40 AM,13,1,0,0,0,0,0,0,0
11:41 AM,13,0,0,0,0,0,0,0,0
11:42 AM,13,1,0,0,0,0,0,0,0
11:43 AM,15,1,0,0,0,0,0,0,0
11:44 AM,15,0,0,0,0,0,0,0,0
11:45 AM,14,0,0,0,0,0,0,0,0
11:46 AM,14,0,0,0,0,0,0,0,0
11:47 AM,15,1,0,0,0,0,0,0,0
11:48 AM,16,2,0,0,0,0,0,0,0
11:49 AM,16,1,0,0,0,0,0,0,0
11:50 AM,16,0,0,0,0,0,0,0,0
11:51 AM,15,1,0,0,0,0,0,0,0
11:52 AM,16,1,0,1,1,0,0,0,0
11:53 AM,19,3,0,1,1,0,0,0,0
11:54 AM,17,1,0,2,6,0,0,0,0
11:55 AM,18,1,0,2,4,0,0,0,0
11:56 AM,19,1,0,1,1,0,0,0,0
11:57 AM,16,0,0,1,1,0,0,0,0
11:58 AM,19,3,0,2,2,0,0,0,0
11:59 AM,19,1,0,2,2,0,0,0,0
12:00 PM,18,1,0,1,2,90,0,0,0
12:01 PM,21,1,0,2,3,0,0,0,0
12:02 PM,20,0,0,2,5,0,0,0,0
12:03 PM,20,1,0,1,1,0,0,0,0
12:04 PM,21,1,0,1,1,0,0,0,0
12:05 PM,22,1,0,1,1,0,0,0,0
12:06 PM,22,0,0,0,0,0,0,0,0
12:07 PM,22,1,0,2,3,0,0,0,0
12:08 PM,24,3,0,2,3,0,0,0,0
12:09 PM,24,1,0,0,0,0,0,0,0
12:10 PM,22,0,0,2,2,0,0,0,0
12:11 PM,23,2,0,3,4,0,0,0,0
12:12 PM,24,0,0,2,6,0,0,0,0
12:13 PM,22,0,0,1,1,0,0,0,0
