Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
1:40 PM,0,1,0,1,1,0,0,0,0
1:41 PM,6,4,0,3,4,0,0,0,0
1:42 PM,5,3,0,0,0,0,0,0,0
1:43 PM,6,1,0,1,1,180,0,0,0
1:44 PM,7,0,0,2,2,0,0,0,0
1:45 PM,7,0,0,0,0,0,0,0,0
1:46 PM,7,0,0,0,0,0,0,0,0
1:47 PM,8,1,0,0,0,0,0,0,0
1:48 PM,8,2,0,2,8,0,0,0,0
1:49 PM,11,2,0,5,9,0,0,0,0
1:50 PM,13,3,0,3,5,0,0,0,0
1:51 PM,13,0,0,3,6,0,0,0,0
1:52 PM,13,1,0,1,1,0,0,0,0
1:53 PM,11,0,0,1,4,0,0,0,0
1:54 PM,13,1,0,2,4,0,0,0,0
1:55 PM,13,0,0,2,3,0,0,0,0
1:56 PM,14,1,0,1,1,0,0,0,0
1:57 PM,12,0,0,1,4,0,0,0,0
1:58 PM,12,0,0,1,1,0,0,0,0
1:59 PM,13,3,0,3,6,0,0,0,0
2:00 PM,10,1,0,0,0,0,0,0,0
2:01 PM,12,0,0,0,0,0,0,0,0
2:02 PM,12,0,0,1,1,0,0,0,0
2:03 PM,13,2,0,0,0,0,0,0,0
2:04 PM,15,1,0,1,3,0,0,0,0
2:05 PM,13,0,0,2,2,0,0,0,0
2:06 PM,13,2,0,0,0,0,0,0,0
2:07 PM,13,1,0,1,2,0,0,0,0
2:08 PM,15,2,0,2,2,0,0,0,0
2:09 PM,14,0,0,2,2,0,0,0,0
2:10 PM,12,0,0,0,0,0,0,0,0
2:11 PM,12,0,0,0,0,0,0,0,0
2:12 PM,13,0,0,0,0,0,0,0,0
2:13 PM,12,0,0,0,0,0,0,0,0
2:14 PM,12,0,0,1,1,0,0,0,0
2:15 PM,11,0,0,0,0,0,0,0,0
2:16 PM,14,0,0,1,2,0,0,0,0
2:17 PM,13,2,0,0,0,0,0,0,0
2:18 PM,13,0,0,0,0,0,0,0,0
2:19 PM,12,0,0,0,0,0,0,0,0
2:20 PM,12,0,0,0,0,0,0,0,0
