Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
12:30 PM,1,1,0,0,0,0,0,0,0
12:31 PM,1,0,0,0,0,0,0,0,0
12:32 PM,1,0,0,0,0,0,0,0,0
12:33 PM,4,3,0,1,1,0,0,0,0
12:34 PM,2,2,0,0,0,0,0,0,0
12:35 PM,7,4,0,1,1,0,0,0,0
12:36 PM,9,1,0,4,6,0,0,0,0
12:37 PM,8,5,0,3,5,0,0,0,0
12:38 PM,11,0,0,6,6,0,0,0,0
12:39 PM,9,0,0,4,5,0,0,0,0
12:40 PM,10,0,0,1,1,0,0,0,0
12:41 PM,9,0,0,4,7,0,0,0,0
12:42 PM,12,3,0,2,2,0,0,0,0
12:43 PM,11,1,0,0,0,0,0,0,0
12:44 PM,11,1,0,1,2,0,0,0,0
12:45 PM,11,1,0,2,2,0,0,0,0
12:46 PM,11,3,0,1,1,0,0,0,0
12:47 PM,10,3,0,1,1,0,0,0,0
12:48 PM,15,0,0,2,3,0,0,0,0
12:49 PM,14,2,0,0,0,0,0,0,0
12:50 PM,15,1,0,3,3,0,0,0,0
12:51 PM,15,0,0,0,0,0,0,0,0
12:52 PM,15,1,0,1,1,0,0,0,0
12:53 PM,16,3,0,0,0,0,0,0,0
12:54 PM,15,1,0,3,4,0,0,0,0
12:55 PM,16,1,0,3,5,0,0,0,0
12:56 PM,17,2,0,2,2,0,0,0,0
12:57 PM,18,1,0,2,6,0,0,0,0
12:58 PM,18,1,0,3,3,0,0,0,0
12:59 PM,18,1,0,4,5,0,0,0,0
1:00 PM,17,1,0,3,4,0,0,0,0
1:01 PM,18,2,0,2,2,90,0,0,0
1:02 PM,16,0,0,2,2,0,0,0,0
1:03 PM,16,0,0,2,3,0,0,0,0
1:04 PM,18,3,0,4,7,0,0,0,0
1:05 PM,18,2,0,2,3,0,0,0,0
1:06 PM,21,2,0,3,4,0,0,0,0
1:07 PM,20,1,0,3,4,0,0,0,0
1:08 PM,20,1,0,4,7,0,0,0,0
1:09 PM,22,1,0,2,2,0,0,0,0
1:10 PM,22,0,0,4,6,0,0,0,0
1:11 PM,21,1,0,3,3,0,0,0,0
1:12 PM,24,2,0,3,7,0,0,0,0
1:13 PM,21,1,0,1,2,0,0,0,0
1:14 PM,22,1,0,2,2,0,0,0,0
1:15 PM,20,0,0,4,5,0,0,0,0
1:16 PM,21,1,1,3,5,0,0,0,0
1:17 PM,22,1,0,4,6,0,0,0,0
1:18 PM,21,0,0,3,4,0,0,0,0
1:19 PM,22,1,0,1,1,0,0,0,0
1:20 PM,22,0,0,3,4,0,0,0,0
1:21 PM,23,1,0,4,5,0,0,0,0
1:22 PM,23,1,0,0,0,0,0,0,0
1:23 PM,24,1,0,3,4,0,0,0,0
1:24 PM,23,0,0,3,3,0,0,0,0
1:25 PM,22,0,0,0,0,0,0,0,0
1:26 PM,26,4,0,3,3,0,0,0,0
1:27 PM,24,1,0,0,0,0,0,0,0
1:28 PM,24,0,0,1,2,0,0,0,0
1:29 PM,25,0,0,0,0,0,0,0,0
1:30 PM,25,1,0,1,2,0,0,0,0
1:31 PM,24,0,0,1,1,90,0,0,0
1:32 PM,25,0,0,1,1,0,0,0,0
1:33 PM,25,2,0,0,0,0,0,0,0
1:34 PM,25,0,0,1,1,0,0,0,0
1:35 PM,24,0,0,1,1,0,0,0,0
