Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
8:52 AM,1,2,0,0,0,0,0,0,0,0,0,0,0,0
8:53 AM,1,0,0,2,4,0,0,0,0,0,0,0,0,0
8:54 AM,2,1,0,2,8,0,0,0,0,0,0,0,0,0
8:55 AM,2,0,0,2,7,180,0,0,0,0,0,0,0,0
8:56 AM,2,0,0,2,4,0,0,0,0,0,0,0,0,0
8:57 AM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8:58 AM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8:59 AM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9:00 AM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
9:01 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9:02 AM,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9:03 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9:04 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:05 AM,5,1,0,0,0,0,0,0,0,0,0,0,0,0
9:06 AM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
9:07 AM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
9:08 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:09 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:10 AM,3,2,0,1,1,0,0,0,0,0,0,0,0,0
9:11 AM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9:12 AM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9:13 AM,5,1,0,0,0,0,0,0,0,0,0,0,0,0
9:14 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:15 AM,3,1,0,1,1,0,0,0,0,0,0,0,0,0
9:16 AM,5,0,0,1,2,0,0,0,0,0,0,0,0,0
9:17 AM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
9:18 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9:19 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:20 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:21 AM,5,1,1,1,1,0,0,0,0,0,0,0,0,0
9:22 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9:23 AM,5,1,0,0,0,0,0,0,0,0,0,0,0,0
9:24 AM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
9:25 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:26 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9:27 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9:28 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
9:29 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:30 AM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
9:31 AM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9:32 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:33 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:34 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:35 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:36 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:37 AM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
9:38 AM,3,1,0,0,0,0,0,0,0,0,0,0,0,0
9:39 AM,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9:40 AM,39,12,0,2,2,0,0,0,0,0,0,0,0,0
9:41 AM,22,1,1,1,2,0,0,0,0,0,0,0,0,0
9:42 AM,19,0,0,0,0,0,0,0,0,0,0,0,0,0
9:43 AM,19,2,0,1,1,0,0,0,0,0,0,0,0,0
9:44 AM,19,2,0,0,0,0,0,0,0,0,0,0,0,0
9:45 AM,21,1,0,0,0,0,0,0,0,0,0,0,0,0
9:46 AM,19,0,0,1,3,0,0,0,0,0,0,0,0,0
9:47 AM,17,0,0,2,2,0,0,0,0,0,0,0,0,0
9:48 AM,18,0,0,2,2,0,0,0,0,0,0,0,0,0
9:49 AM,17,1,0,2,3,0,0,0,0,0,0,0,0,0
9:50 AM,16,0,0,2,2,0,0,0,0,0,0,0,0,0
9:51 AM,16,0,0,1,1,0,0,0,0,0,0,0,0,0
9:52 AM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
9:53 AM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
9:54 AM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
9:55 AM,16,1,0,2,3,0,0,0,0,0,0,0,0,0
9:56 AM,16,1,0,1,1,0,0,0,0,0,0,0,0,0
9:57 AM,16,1,0,1,1,0,0,0,0,0,0,0,0,0
9:58 AM,13,2,0,2,2,0,0,0,0,0,0,0,0,0
9:59 AM,13,1,0,3,5,0,0,0,0,0,0,0,0,0
10:00 AM,14,0,0,2,3,0,0,0,0,0,0,0,0,0
10:01 AM,14,0,0,1,1,0,0,0,0,0,0,0,0,0
10:02 AM,15,1,0,3,4,0,0,0,0,0,0,0,0,0
10:03 AM,15,0,0,1,1,0,0,0,0,0,0,0,0,0
10:04 AM,14,0,0,1,2,0,0,0,0,0,0,0,0,0
10:05 AM,14,1,0,0,0,0,0,0,0,0,0,0,0,0
10:06 AM,15,0,0,0,0,0,0,0,0,0,0,0,0,0
10:07 AM,16,0,0,0,0,0,0,0,0,0,0,0,0,0
10:08 AM,16,1,0,0,0,0,0,0,0,0,0,0,0,0
