Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
2:03 PM,0,2,0,0,0,0,0,0,0
2:04 PM,7,3,0,1,2,0,0,0,0
2:05 PM,6,2,0,3,5,0,0,0,0
2:06 PM,8,2,0,0,0,0,0,0,0
2:07 PM,8,0,0,0,0,0,0,0,0
2:08 PM,8,3,0,0,0,0,0,0,0
2:09 PM,10,1,0,0,0,0,0,0,0
2:10 PM,10,0,0,2,2,0,0,0,0
2:11 PM,11,0,0,1,3,180,0,0,0
2:12 PM,8,0,0,0,0,0,0,1,0
2:13 PM,8,0,0,0,0,0,0,0,0
2:14 PM,9,1,0,1,1,0,0,1,0
2:15 PM,10,0,0,3,3,0,0,0,0
2:16 PM,11,0,0,1,1,0,0,0,0
2:17 PM,11,0,0,3,3,0,0,0,0
2:18 PM,11,0,0,0,0,0,0,0,0
2:19 PM,12,3,0,1,1,0,0,0,0
2:20 PM,12,1,0,0,0,0,0,0,0
2:21 PM,13,0,0,1,1,0,0,0,0
2:22 PM,13,0,0,2,4,0,0,0,0
2:23 PM,11,2,0,0,0,0,0,0,0
2:24 PM,14,1,0,0,0,0,0,0,0
2:25 PM,13,2,0,0,0,0,0,0,0
2:26 PM,14,0,0,2,2,0,0,0,0
2:27 PM,15,1,0,0,0,0,0,0,0
2:28 PM,15,1,0,1,2,0,0,0,0
2:29 PM,14,2,0,0,0,0,0,0,0
2:30 PM,15,1,0,0,0,0,0,0,0
2:31 PM,19,3,0,1,1,0,0,0,0
2:32 PM,17,1,0,2,2,0,0,0,0
2:33 PM,16,1,0,2,3,0,0,0,0
2:34 PM,17,0,1,0,0,0,0,0,0
2:35 PM,17,0,0,1,1,0,0,0,0
2:36 PM,17,1,0,1,1,0,0,0,0
2:37 PM,17,0,0,1,1,0,0,0,0
2:38 PM,17,1,0,0,0,0,0,0,0
2:39 PM,18,0,0,1,1,0,0,0,0
2:40 PM,19,3,0,4,6,0,0,0,0
2:41 PM,22,0,0,3,3,0,0,0,0
2:42 PM,20,0,0,2,2,0,0,0,0
2:43 PM,19,0,0,1,1,0,0,0,0
2:44 PM,19,0,0,2,3,0,0,0,0
2:45 PM,20,0,0,3,5,0,0,0,0
2:46 PM,19,0,0,2,2,0,0,0,0
2:47 PM,18,1,0,1,3,0,0,0,0
2:48 PM,19,0,0,0,0,0,0,0,0
2:49 PM,20,0,0,2,2,0,0,0,0
2:50 PM,19,1,0,1,1,0,0,0,0
2:51 PM,18,0,0,2,4,0,0,0,0
2:52 PM,18,0,0,0,0,0,0,0,0
2:53 PM,19,2,0,2,3,0,0,0,0
2:54 PM,21,1,0,2,5,0,0,0,0
2:55 PM,19,2,0,4,5,0,0,0,0
2:56 PM,20,0,0,3,6,0,0,0,0
2:57 PM,21,3,0,4,5,0,0,0,0
2:58 PM,22,2,0,3,3,0,0,0,0
2:59 PM,23,2,0,6,7,0,0,0,0
3:00 PM,24,3,0,5,12,0,0,0,0
3:01 PM,24,1,0,4,6,0,0,0,0
3:02 PM,23,1,0,3,5,0,0,0,0
3:03 PM,22,0,0,2,3,0,0,0,0
3:04 PM,21,0,0,5,6,0,0,0,0
3:05 PM,22,1,0,4,5,0,0,0,0
3:06 PM,22,0,0,1,1,0,0,0,0
3:07 PM,21,0,0,4,5,0,0,0,0
3:08 PM,21,0,0,1,1,0,0,0,0
3:09 PM,21,0,0,3,3,0,0,0,0
3:10 PM,22,1,0,3,4,0,0,0,0
3:11 PM,22,2,0,6,7,0,0,0,0
3:12 PM,24,1,0,3,5,0,0,0,0
3:13 PM,24,0,0,6,8,0,0,0,0
3:14 PM,24,0,0,3,8,0,0,0,0
3:15 PM,25,1,0,1,2,0,0,0,0
3:16 PM,23,0,0,4,8,0,0,0,0
3:17 PM,22,1,0,4,6,0,0,0,0
3:18 PM,22,1,0,4,6,0,0,0,0
3:19 PM,21,0,0,3,4,0,0,0,0
3:20 PM,21,0,0,4,6,0,0,0,0
3:21 PM,21,0,0,1,3,0,0,0,0
3:22 PM,21,0,0,3,4,0,0,0,0
3:23 PM,22,0,0,4,4,0,0,0,0
