Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
7:40 PM,4,4,0,3,5,0,0,0,0
7:41 PM,6,15,0,2,3,0,0,0,0
7:42 PM,26,2,0,8,14,0,0,0,0
7:43 PM,17,0,0,3,3,0,0,0,0
7:44 PM,16,1,0,3,6,0,0,0,0
7:45 PM,17,2,0,3,4,0,0,0,0
7:46 PM,17,2,0,4,7,0,0,0,0
7:47 PM,17,1,0,2,3,0,0,0,0
7:48 PM,17,1,0,2,3,0,0,0,0
7:49 PM,16,1,0,1,4,0,0,0,0
7:50 PM,15,0,0,1,2,0,0,0,0
7:51 PM,21,3,0,2,4,0,0,0,0
7:52 PM,19,1,0,2,3,0,0,0,0
7:53 PM,19,0,0,1,1,0,0,0,0
7:54 PM,18,1,0,0,0,0,0,0,0
7:55 PM,18,0,0,1,2,0,0,0,0
7:56 PM,18,0,0,0,0,0,0,0,0
7:57 PM,18,3,0,2,3,0,0,0,0
7:58 PM,19,0,0,0,0,0,0,0,0
7:59 PM,21,2,0,0,0,0,0,0,0
8:00 PM,19,0,0,1,2,0,0,0,0
8:01 PM,16,2,0,3,7,0,0,0,0
8:02 PM,17,0,0,3,4,0,0,0,0
8:03 PM,15,0,0,2,5,0,0,0,0
8:04 PM,15,0,0,5,8,0,0,0,0
8:05 PM,17,0,0,5,10,0,0,0,0
8:06 PM,17,0,0,2,4,0,0,0,0
8:07 PM,17,0,0,2,3,0,0,0,0
8:08 PM,19,0,0,2,3,0,0,0,0
8:09 PM,15,1,0,1,1,0,0,0,0
8:10 PM,17,0,0,0,0,0,0,0,0
8:11 PM,17,0,0,0,0,90,0,0,0
8:12 PM,18,2,0,1,2,0,0,0,0
8:13 PM,17,0,0,0,0,0,0,0,0
8:14 PM,18,0,0,1,1,0,0,0,0
8:15 PM,18,0,0,1,1,0,0,0,0
8:16 PM,18,0,0,0,0,0,0,0,0
8:17 PM,18,0,0,1,3,0,0,0,0
8:18 PM,15,2,0,1,2,0,0,0,0
