Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
5:54 PM,1,0,0,0,0,180,0,0,0,0,0,0,0,0
5:55 PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5:56 PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5:57 PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5:58 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5:59 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6:00 PM,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6:01 PM,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6:02 PM,2,0,0,1,1,0,1,0,0,0,0,0,0,0
6:03 PM,2,0,0,1,1,0,0,0,0,0,0,0,0,0
6:04 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6:05 PM,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6:06 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6:07 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6:08 PM,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6:09 PM,4,0,0,0,0,0,0,1,0,0,0,0,0,0
6:10 PM,3,1,0,1,1,0,0,0,0,0,0,0,0,0
6:11 PM,4,1,0,2,2,0,0,0,0,0,0,0,0,0
6:12 PM,5,1,0,1,2,0,0,0,0,0,0,0,0,0
6:13 PM,5,0,0,2,2,0,0,0,0,0,0,0,0,0
6:14 PM,5,1,0,2,2,0,0,0,0,0,0,0,0,0
6:15 PM,6,2,0,1,1,0,0,0,0,0,0,0,0,0
6:16 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
6:17 PM,8,1,0,3,3,0,1,0,0,0,0,0,0,0
6:18 PM,9,1,0,1,1,0,0,0,0,0,0,0,0,0
6:19 PM,9,3,0,3,7,0,0,0,0,0,0,0,0,0
6:20 PM,9,0,0,2,4,0,0,0,0,0,0,0,0,0
6:21 PM,8,0,0,0,0,0,0,0,0,0,0,0,0,0
6:22 PM,10,2,0,2,3,0,0,0,0,0,0,0,0,0
6:23 PM,12,2,0,1,1,0,0,0,0,0,0,0,0,0
6:24 PM,10,1,0,3,5,0,0,0,0,0,0,0,0,0
6:25 PM,13,1,0,0,0,0,0,0,0,0,0,0,0,0
6:26 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6:27 PM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
